 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 68,097,611 "," 6,460,123 ",2438,390
" 68,009,163 "," 6,448,262 ",1087,122.25
" 68,097,089 "," 6,460,054 ",142,166.32
" 68,060,918 "," 6,455,556 ",415,226.5
" 68,144,928 "," 6,466,586 ",361,336
" 68,136,378 "," 6,465,442 ",2778,117
" 68,069,368 "," 6,456,788 ",417,168
" 68,154,758 "," 6,468,034 ",1070,1675.5
" 68,088,765 "," 6,459,127 ",9468,232.5
" 68,071,104 "," 6,457,043 ",9468,155
" 68,099,889 "," 6,460,377 ",9468,232.5
" 68,030,999 "," 6,451,369 ",2778,469
" 68,116,148 "," 6,462,500 ",415,226.75
" 68,152,455 "," 6,467,709 ",9468,232.5
" 68,152,772 "," 6,467,753 ",2438,375.25
" 68,097,735 "," 6,460,141 ",3900,360
" 68,088,574 "," 6,459,108 ",583,212.5
" 68,147,301 "," 6,466,931 ",72,393.25
" 68,148,108 "," 6,467,079 ",1070,202.5
" 68,078,418 "," 6,458,005 ",8120,101.5
" 68,064,414 "," 6,456,049 ",2438,97.5
" 68,153,781 "," 6,467,897 ",168,55.25
" 68,149,811 "," 6,467,349 ",9468,77.5
" 68,151,180 "," 6,467,538 ",7558,353.75
" 68,156,620 "," 6,468,291 ",415,453
" 68,160,824 "," 6,468,866 ",7558,354.25
" 68,088,632 "," 6,456,343 ",168,55.25
" 68,142,812 "," 6,466,296 ",152,175.5
" 68,118,865 "," 6,462,873 ",415,226.5
" 68,058,918 "," 6,455,249 ",168,115
" 68,165,583 "," 6,469,582 ",583,209
" 68,123,264 "," 6,463,539 ",9468,232.5
" 68,163,112 "," 6,469,208 ",142,166.32
" 68,136,314 "," 6,465,435 ",9468,155
" 68,131,921 "," 6,464,797 ",1070,405
" 68,143,510 "," 6,466,396 ",9046,159
" 68,131,082 "," 6,464,686 ",1070,81
" 68,095,234 "," 6,459,840 ",415,226.5
" 68,114,502 "," 6,462,319 ",9468,232.5
" 68,161,257 "," 6,468,917 ",152,175.5
" 68,167,590 "," 6,469,881 ",361,336
" 68,097,366 "," 6,460,099 ",3900,360
" 68,154,204 "," 6,467,945 ",168,55.25
" 68,157,731 "," 6,468,446 ",415,226.5
" 68,159,152 "," 6,468,631 ",9046,636
" 68,169,345 "," 6,470,143 ",583,418
" 68,168,576 "," 6,470,031 ",2778,1167.5
" 68,120,519 "," 6,463,107 ",168,552.5
" 68,206,057 "," 6,475,296 ",583,3135
" 68,197,742 "," 6,474,247 ",9081,527.5
" 68,250,512 "," 6,481,731 ",9289,331
" 68,231,504 "," 6,474,021 ",9081,530
" 68,258,516 "," 6,482,986 ",9046,159
" 68,252,361 "," 6,481,994 ",583,1045
" 68,214,055 "," 6,476,528 ",974,200
" 68,213,607 "," 6,476,457 ",417,168
" 68,209,650 "," 6,475,835 ",583,209
" 68,174,879 "," 6,470,953 ",417,168
" 68,270,983 "," 6,484,820 ",9081,319.5
" 68,211,571 "," 6,476,125 ",583,418
" 68,194,214 "," 6,473,679 ",2778,117.25
" 68,195,037 "," 6,473,814 ",9468,155
" 68,204,591 "," 6,474,953 ",974,283.5
" 68,215,043 "," 6,476,678 ",9081,639
" 68,191,447 "," 6,473,220 ",583,627
" 68,205,938 "," 6,475,274 ",974,189
" 68,256,176 "," 6,482,595 ",3900,1452
" 68,231,906 "," 6,479,080 ",2778,115.75
" 68,274,548 "," 6,485,334 ",9289,330
" 68,274,863 "," 6,485,381 ",168,276.25
" 68,277,705 "," 6,485,746 ",1087,124.25
" 68,246,170 "," 6,481,144 ",583,209
" 68,212,073 "," 6,476,214 ",2778,351.75
" 68,207,731 "," 6,473,751 ",152,179.25
" 68,168,145 "," 6,469,968 ",583,209
" 68,272,614 "," 6,485,045 ",142,336
" 68,221,079 "," 6,477,578 ",168,57.5
" 68,232,126 "," 6,479,108 ",8120,101
" 68,199,167 "," 6,474,445 ",7558,347.5
" 68,200,242 "," 6,474,582 ",974,300
" 68,194,290 "," 6,473,691 ",2778,350.25
" 68,207,037 "," 6,475,441 ",583,209
" 68,262,162 "," 6,483,550 ",2438,383.75
" 68,265,086 "," 6,483,975 ",583,209
" 68,268,637 "," 6,484,468 ",2778,233.5
" 68,286,452 "," 6,486,989 ",168,55.25
" 68,269,512 "," 6,484,602 ",9289,330
" 68,269,588 "," 6,484,613 ",2778,466
" 68,199,422 "," 6,474,475 ",2778,116.75
" 68,241,487 "," 6,480,492 ",3900,363
" 68,222,127 "," 6,477,719 ",583,418
" 68,282,264 "," 6,486,389 ",9468,155
" 68,267,064 "," 6,481,452 ",9081,266.25
" 68,302,519 "," 6,489,232 ",417,168
" 68,019,393 "," 6,449,794 ",9468,1007.5
" 68,285,840 "," 6,486,904 ",7558,350
" 68,301,540 "," 6,489,093 ",3900,363
" 68,308,923 "," 6,490,150 ",583,209
" 68,381,854 "," 6,500,121 ",9468,156.5
" 68,319,994 "," 6,490,592 ",417,164.5
" 68,359,547 "," 6,497,340 ",2438,129
" 68,297,612 "," 6,488,270 ",583,1045
" 68,298,665 "," 6,488,654 ",9468,77.5
" 68,304,405 "," 6,489,525 ",3900,363
" 68,304,582 "," 6,489,548 ",2438,378
" 68,369,718 "," 6,492,943 ",2438,96.75
" 68,399,889 "," 6,502,482 ",417,162.855
" 68,361,828 "," 6,497,670 ",9468,158.5
" 68,401,107 "," 6,502,635 ",583,209
" 68,401,739 "," 6,502,721 ",583,209
" 68,346,892 "," 6,495,428 ",142,164.5
" 68,403,511 "," 6,502,958 ",583,209
" 68,376,773 "," 6,499,522 ",2438,381.75
" 68,351,024 "," 6,496,055 ",415,218.842
" 68,373,658 "," 6,492,667 ",72,392
" 68,372,090 "," 6,499,020 ",8120,310.5
" 68,392,422 "," 6,501,381 ",72,392
" 68,396,041 "," 6,501,919 ",2438,129
" 68,346,221 "," 6,495,318 ",9081,213
" 68,357,830 "," 6,497,092 ",1070,400
" 68,398,158 "," 6,502,006 ",1080,119.25
" 68,333,060 "," 6,493,483 ",9081,266.25
" 68,408,806 "," 6,503,617 ",9289,328.25
" 68,425,851 "," 6,506,182 ",974,100
" 68,435,705 "," 6,507,592 ",2438,763.5
" 68,436,001 "," 6,507,638 ",72,392
" 68,359,122 "," 6,497,278 ",361,164.25
" 68,387,591 "," 6,500,756 ",583,418
" 68,437,187 "," 6,507,809 ",168,58.5
" 68,437,441 "," 6,507,849 ",583,418
" 68,340,486 "," 6,494,477 ",9468,157
" 68,330,293 "," 6,493,073 ",8120,102
" 68,417,138 "," 6,504,915 ",1070,2379.75
" 68,311,486 "," 6,490,519 ",9468,157
" 68,374,770 "," 6,499,310 ",415,221.5
" 68,433,646 "," 6,507,294 ",2778,231
" 68,418,898 "," 6,505,172 ",974,100
" 68,391,392 "," 6,501,217 ",1070,40
" 68,358,660 "," 6,497,218 ",2438,381.75
" 68,397,813 "," 6,502,166 ",1070,240
" 68,371,903 "," 6,493,839 ",974,1164.25
" 68,380,605 "," 6,499,980 ",9468,78.25
" 68,387,823 "," 6,500,785 ",2438,376
" 68,350,132 "," 6,495,460 ",417,162.855
